ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
CWH,5.1516,-3.4663,4.6963,-3.5126,2.6645,-2.0527,-1.6654,-0.5586,0.4723,17.73,-11.89,-32.33,-8.83
EXPE,19.2768,-11.9579,18.8061,-21.5705,9.3923,-16.1697,12.9313,0.5118,1.6598,17.67,2.72,67.08,29.16
LUV,7.123,-4.4486,5.1774,-6.7501,2.7074,-4.9054,0.0439,0.666,0.4726,17.46,12.86,0.62,10.31
NOW,126.8382,-14.047,83.5842,-45.7072,50.7122,-53.923,109.3149,23.7392,8.8478,17.45,28.4,86.18,44.01
BOOT,21.9714,-3.151,15.7218,-12.0703,15.0226,-11.2412,16.5164,8.1744,2.6157,17.41,51.99,75.17,48.19
NI,3.9165,-0.58,2.175,-0.9358,0.9178,-1.5897,3.8664,0.9295,0.159,17.32,42.74,98.72,52.93
NEE,7.6944,-3.7074,4.5312,-5.0149,3.2048,-4.5761,1.0145,0.2925,0.5549,17.31,6.46,13.18,12.32
XLV,10.6604,-1.522,4.9153,-3.1669,2.6047,-5.097,2.1952,-2.5679,0.4488,17.23,-52.24,20.59,-4.81
MELI,315.043,-79.429,225.1407,-151.7802,131.5258,-126.7622,294.8032,149.315,22.1765,16.86,66.32,93.58,58.92
PFE,4.2587,-3.3992,3.8404,-2.1796,2.4537,-1.5985,-2.0359,-0.2928,0.4093,16.68,-7.62,-47.81,-12.92
MSI,57.971,-11.0309,32.1813,-8.5971,10.5559,-12.032,39.2537,-6.3276,1.7576,16.65,-19.66,67.71,21.57
AMGN,25.3791,-4.2531,16.095,-11.9273,10.8458,-9.3866,12.2635,-0.5931,1.7596,16.22,-3.68,48.32,20.29
TMO,80.8577,-27.0068,37.1458,-40.686,16.7965,-24.7045,-27.0068,-34.3155,2.7201,16.19,-92.38,-33.4,-36.53
BA,52.9163,-40.9771,30.6018,-57.6126,18.6668,-56.8946,0.6862,11.3511,2.9778,15.95,37.09,1.3,18.11
XYZ,47.8366,-26.9536,30.3958,-35.5914,14.0343,-16.9612,-4.9611,-2.0565,2.2041,15.71,-6.77,-10.37,-0.48
COP,16.5138,-5.1718,8.8741,-5.8884,4.9364,-7.0654,-1.7871,-2.179,0.7752,15.7,-24.55,-10.82,-6.56
CCI,14.6174,-13.3835,8.4563,-10.6093,5.4947,-8.2221,-2.9442,1.2249,0.8594,15.64,14.49,-20.14,3.33
DLR,15.5681,-7.6966,11.8554,-9.8185,6.1738,-6.608,12.2687,3.5142,0.9654,15.64,29.64,78.81,41.36
